# q	Intensity	Error	qError
1.581670709531860952e+00 1.556069359256987972e-01 2.229935394853379063e-02 6.275167398181405334e-05
1.587078503788157180e+00 1.670795233879409092e-01 2.245018343155968238e-02 6.369550719518329222e-05
1.592493780754422161e+00 1.618611180347678535e-01 2.242695260284544717e-02 6.339296569452296964e-05
1.597830710529466236e+00 1.294665283526003630e-01 2.259191026776698544e-02 6.424436926010262830e-05
1.603170245253473736e+00 1.516123716748068728e-01 2.246972262192874215e-02 6.405031836328821783e-05
1.608632616937660575e+00 1.569750474666148088e-01 2.214124632727471065e-02 6.262383167806455147e-05
1.614059223808971932e+00 1.655513077149750600e-01 2.276226640805447191e-02 6.472725165826071002e-05
1.619468981594873958e+00 1.569508864323529707e-01 2.221883130716700155e-02 6.325883337810378655e-05
1.624859518674830028e+00 1.606188595384951956e-01 2.272962337673037694e-02 6.469129303022234153e-05
1.630256870516380685e+00 1.494482554612460157e-01 2.253101994740263139e-02 6.379523215251377386e-05
1.635711989539879507e+00 1.635473571620180699e-01 2.199913736914585818e-02 6.360893229706732373e-05
1.641097781580433512e+00 1.569570273778867764e-01 2.285735299021314504e-02 6.530399009565336687e-05
1.646453263103915043e+00 1.220951184165287168e-01 2.193130173769140823e-02 6.403582757660889163e-05
1.651864676770422813e+00 1.703116454088467735e-01 2.234008646561949293e-02 6.454572159034658381e-05
1.657304375307351307e+00 1.719232157405200245e-01 2.220874910989427409e-02 6.423654414863225366e-05
1.662698104180989844e+00 1.557769180463360048e-01 2.259246884177186498e-02 6.474977982413243291e-05
